oid,organization,idate,county,outreachsite,activity,activityspecify,maleadult,maleyouth,femaleadult,femaleyouth,discussiontopic,flyers,brochures,posters,booklets,stickers,others
C68A90A0-6512-43FF-93B0-BB25CD1AA7FF,MSK=2,01/10/2013,TESO SOUTH,KAUJAKITO,3=Youth Groups,,0,20,0,15,IMPORTANCE OF CONDOM USE AS FP,0,0,0,0,0,0
D355CA86-190C-40CC-913A-BB27764476C7,FHOK=1,19/02/2014,BONDO,BARASA,3=Youth Groups,,7,9,5,4,FAMILY PLANNING,0,0,0,0,0,0
8E4BBC74-915F-4973-BFE6-BB28881DC389,MSK=2,10/04/2013,BUTULA,BUMALA ACK CHURCH,1=Comunity Meeting/Barazas,,17,3,11,4,PERMANENT METHODS OF FP,0,0,0,0,0,0
E028CCEA-3479-4F0A-8B2C-BB29016EF709,FHOK=1,24/03/2014,SIAYA,RWAMBWA HEALTH CENTRE,3=Youth Groups,,8,16,14,23,FP AND NUTRITION,0,0,0,0,0,0
940621F3-C34E-4EA3-A47F-BB2A4238EC3F,MSK=2,14/12/2014,BONDO,UYOMA,1=Comunity Meeting/Barazas,,10,5,15,8,F/P,0,0,0,0,0,0
06160D84-B30F-49FF-923E-BB2E3A37B79C,MSK=2,10/10/2013,BUSIA,BUSIA,6=Other(Specify),,0,0,8,2,FEMALE CONDOMS,0,0,0,0,0,0
5C81996F-60A8-40FA-8145-BB31DC25BD6C,MSK=2,18/12/2012,2=Refreshers,APEGEI,1=Comunity Meeting/Barazas,,0,0,0,0,,0,0,10,0,0,0
C9647DDC-5A51-4258-AA42-BB324D3204C8,MSK=2,30/01/2013,NAMBALE,TOWNSHIP,2=Womens Group Meetings,,0,0,40,0,F/P,0,0,0,0,0,0
EEA37D91-23DE-4694-8941-BB33F3E77C76,MSK=2,17/06/2014,NAMBALE,EKISUMO VILLAGE,2=Womens Group Meetings,,5,1,15,3,MALARIA,0,0,0,0,0,0
BAF1B645-E2A9-41FB-92C3-BB4C4B9CC7DB,FHOK=1,19/03/2013,SIAYA,CHUTH BER W/G,2=Womens Group Meetings,,4,0,21,0,FAMILY PLANNING,0,0,0,6,0,0
1FED81ED-EF65-487A-AD7A-BB4DC8331E2E,FHOK=1,11/05/2015,BONDO,DAGO VILLAGE,2=Womens Group Meetings,,0,0,30,5,BTL,0,0,0,5,3,0
141A159B-B921-4E1E-B319-BB5100335227,FHOK=1,23/12/2013,BONDO,OGWENA,3=Youth Groups,,5,10,0,0,VASECTOMY,0,10,10,10,0,0
2EB228D5-A252-4657-9880-BB586ADC21D7,FHOK=1,15/02/2015,BONDO,KAPIYO,1=Comunity Meeting/Barazas,,30,21,15,10,F/P,0,0,0,0,0,0
0E832525-68C6-47B8-84DB-BB5B056B2A40,FHOK=1,30/01/2014,SIAYA,UWASI VILLAGE,3=Youth Groups,,0,10,0,5,HIV/AIDS,0,0,0,0,0,0
68C8AC23-A3E1-4ACA-B4A3-BB5C3A0179EE,MSK=2,18/02/2014,BUSIA,MNAZI MOJA,1=Comunity Meeting/Barazas,,20,0,31,0,FP,0,0,0,0,0,0
37854A45-7FC7-40B6-9645-BB5DEB7EDFFA,MSK=2,07/11/2013,TESO SOUTH,OBEKAI VILLAGE,2=Womens Group Meetings,,0,0,10,15,IMPORTANCE OF FP,0,0,0,0,0,0
3834CAB6-B475-42C7-B036-BB608F1D62D3,MSK=2,20/04/2013,TESO SOUTH,MISSING,3=Youth Groups,,11,6,8,6,CONDOM USE,0,0,0,0,0,0
835E7C0F-6B79-415F-A52C-BB61C9C4B50F,MSK=2,03/05/2015,TESO NORTH,AKORET,2=Womens Group Meetings,,2,0,10,4,BENEFITS OF FP AND WHO SHOULD TAKE VASECTOMY,0,0,0,0,0,0
EEB068E0-73CC-4E14-8C3B-BB69502D50AB,MSK=2,15/03/2015,SAMIA,BULOMA,2=Womens Group Meetings,,2,0,17,10,IMPORTANCE OF IUCD,0,0,0,0,0,0
7CA2A010-8337-40BB-A513-BB6BB5327834,FHOK=1,20-07-2014,SIAYA,HOUSEHOLD,2=Womens Group Meetings,,0,0,17,2,CONDOM USE AND BENEFITS OF FP,0,0,0,0,0,0
826BC5B7-6072-4177-8253-BB6C48BB4FD2,MSK=2,16/06/2014,SAMIA,MISSING,2=Womens Group Meetings,,0,0,6,12,FP,0,0,0,0,0,0
25FC973E-99F1-4154-9D6C-BB786BE19BD0,FHOK=1,12/01/2015,BONDO,NYAYO,1=Comunity Meeting/Barazas,,20,9,93,30,FP  CALENDER  CONDOM AND IUCD,0,0,0,0,0,0
7E8F0D4B-BF54-41C4-86B5-BB87B6CB421F,MSK=2,07/12/2013,SAMIA,MACHOGA,2=Womens Group Meetings,,4,9,15,7,FAMILY PLANNING,0,0,0,0,0,0
A7F9AB04-50CB-45D5-A8BB-BB8D656DE4FF,MSK=2,12/02/2014,BUTULA,TINGALE,5=FBO services,,4,1,17,2,IUCD,0,0,0,0,0,0
7EA00559-8675-41FB-8FA4-BB95FB08424F,FHOK=1,06/05/2015,BONDO,NYI UGENYA WOMEN G,2=Womens Group Meetings,,10,0,17,0,BENEFITS OF FP,0,2,0,0,0,0
936C8F0B-A6A6-4158-AED7-BB9828F01A7D,FHOK=1,24/07/2014,BONDO,LIUNDA BEACH,1=Comunity Meeting/Barazas,,15,8,10,5,F.P,0,0,0,0,0,0
AE31AA3B-1591-4027-949E-BB98D7187F8B,MSK=2,18/06/2013,BUTULA,BUKHWAKU,2=Womens Group Meetings,,0,0,18,1,IMPORTANCE OF EARLY ANC ATTENDANCE,0,0,0,0,0,0
